canonical_incident_id,source_native_id,hazard_type,event_date,event_year,location_name,source_provider,deduplication_status,spatial_offset_to_duplicate_m,merged_duplicate_source_info,record_classification,acquisition_method,extraction_method,source_access_status,evidence_level,latitude_wgs84,longitude_wgs84,easting_utm44n,northing_utm44n,location_method,coordinate_uncertainty_m,uncertainty_band,uncertainty_basis,fatalities_documented,injuries_documented,households_affected,source_document_title,source_document_url_or_identifier,source_page_figure_table
DIS-RDP-2013-005,NULL,RIVERINE_FLOOD,2013-06-17,2013,Chandrapuri Fluvial Terrace,Indian Academy of Sciences / Current Science,UNIQUE_RECORD,0.0,NONE (Unique Record),LITERATURE_CURATED_HISTORICAL_RECORD,MANUAL_RESEARCH_AND_CURATED_EXTRACTION,MAP_GEOREFERENCED_DIGITIZATION,VERIFIED_PUBLISHED_SECONDARY_SOURCE,PEER_REVIEWED_JOURNAL_ARTICLE,30.435,79.055,313215.2,3368594.84,PUBLISHED_MAP_GEOREFERENCING,100.0,MODERATE_PRECISION (51–100 m),Digitized from channel avulsion boundary map in Sundriyal et al. (2015) Fig. 5,18,35,115,Mandakini river flood of June 2013: Inundation and sediment dynamics,ISSN: 0011-3891 (Current Science 108(4):652-660),Figure 5 (Chandrapuri channel avulsion map) & Table 2
DIS-RDP-2013-006,NULL,LANDSLIDE,2013-06-17,2013,Tilwada Terrace Collapse,Elsevier / Geomorphology,UNIQUE_RECORD,0.0,NONE (Unique Record),LITERATURE_CURATED_HISTORICAL_RECORD,MANUAL_RESEARCH_AND_CURATED_EXTRACTION,MAP_GEOREFERENCED_DIGITIZATION,VERIFIED_PUBLISHED_SECONDARY_SOURCE,PEER_REVIEWED_JOURNAL_ARTICLE,30.34,78.97,304861.91,3358207.72,HIGHWAY_LANDMARK_CORRIDOR_MATCH,100.0,MODERATE_PRECISION (51–100 m),Geocoded to NH-107 Tilwada river terrace failure from Martha et al. (2015) district density map,8,20,70,"Landslides mapped after the 2013 multi-hazard disaster in Uttarakhand, India",https://doi.org/10.1016/j.geomorph.2015.09.008,Figure 2 (District-wide landslide spatial density map)
DIS-RDP-2016-001,NULL,LANDSLIDE,2016-07-01,2016,Dhungi - Bastari Border,Public Disaster News & Incident Summary,UNIQUE_RECORD,0.0,NONE (Unique Record),LITERATURE_CURATED_HISTORICAL_RECORD,MANUAL_RESEARCH_AND_CURATED_EXTRACTION,TEXT_TABULAR_EXTRACTION,UNVERIFIED_DOCUMENT_REFERENCE,STATE_EMERGENCY_OPERATIONS_BULLETIN,30.385,78.945,302548.7,3363239.24,VILLAGE_SETTLEMENT_CENTROID_MATCH,200.0,VILLAGE_SCALE_PRECISION (101–200 m),Geocoded to Dhungi-Bastari administrative border revenue coordinates from Census 2011 directory,4,9,22,State Disaster Situation Media Coverage & Public Loss Listings (July 2016),https://usdma.uk.gov.in/ (Public Incident Bulletin),Daily Bulletin Item 4
DIS-RDP-2017-001,NULL,CLOUDBURST,2017-07-20,2017,Ghat - Mandal Valley Border,Public Disaster News & Incident Summary,UNIQUE_RECORD,0.0,NONE (Unique Record),LITERATURE_CURATED_HISTORICAL_RECORD,MANUAL_RESEARCH_AND_CURATED_EXTRACTION,TEXT_TABULAR_EXTRACTION,UNVERIFIED_DOCUMENT_REFERENCE,STATE_EMERGENCY_OPERATIONS_BULLETIN,30.47,79.25,332004.78,3372168.24,HIGHWAY_LANDMARK_CORRIDOR_MATCH,300.0,CORRIDOR_SCALE_PRECISION (> 200 m),Geocoded to Mandal-Ukhimath road pass valley corridor from secondary incident report,6,12,30,Regional Disaster Summary & News Reports: Chamoli-Rudraprayag Cloudbursts (July 2017),https://usdma.uk.gov.in/ (Public Incident Bulletin),Section 3.4 'Chamoli-Rudraprayag Valley Incidents'
DIS-RDP-2018-001,NULL,ROCKFALL,2018-08-25,2018,Banswara Slide Zone (NH-107),Public Highway Incident Report,UNIQUE_RECORD,0.0,NONE (Unique Record),LITERATURE_CURATED_HISTORICAL_RECORD,MANUAL_RESEARCH_AND_CURATED_EXTRACTION,TEXT_TABULAR_EXTRACTION,UNVERIFIED_DOCUMENT_REFERENCE,STATE_EMERGENCY_OPERATIONS_BULLETIN,30.505,79.115,319107.72,3376256.41,HIGHWAY_LANDMARK_CORRIDOR_MATCH,100.0,MODERATE_PRECISION (51–100 m),Geocoded to active shooting stone scarp on NH-107 at Banswara from highway milestone landmark,2,5,0,Highway Maintenance & Traffic Incident Coverage: Banswara Rockfall,https://usdma.uk.gov.in/ (Incident Summary),Incident Log 25/08/2018
DIS-RDP-2019-001,NULL,LANDSLIDE,2019-08-18,2019,Semi - Kunjethi Slope Slump,Springer / Natural Hazards,UNIQUE_RECORD,0.0,NONE (Unique Record),LITERATURE_CURATED_HISTORICAL_RECORD,MANUAL_RESEARCH_AND_CURATED_EXTRACTION,TEXT_TABULAR_EXTRACTION,VERIFIED_PUBLISHED_SECONDARY_SOURCE,PEER_REVIEWED_JOURNAL_ARTICLE,30.54,79.08,315814.43,3380192.71,VILLAGE_SETTLEMENT_CENTROID_MATCH,150.0,VILLAGE_SCALE_PRECISION (101–200 m),Geocoded to Semi village agricultural terrace boundary in Dikshit et al. (2020) Table 2,3,8,25,"Rainfall thresholding for landslides in Mandakini Basin, Garhwal Himalaya",https://doi.org/10.1007/s11069-020-04185-1,Table 2 (2019 Monsoon Landslide Event Catalog) & Figure 3
DIS-RDP-2020-001,NULL,LANDSLIDE,2020-08-11,2020,Kaliasaur Landslide Zone (NH-07),Public Highway Advisory & Incident Report,UNIQUE_RECORD,0.0,NONE (Unique Record),LITERATURE_CURATED_HISTORICAL_RECORD,MANUAL_RESEARCH_AND_CURATED_EXTRACTION,TEXT_TABULAR_EXTRACTION,UNVERIFIED_DOCUMENT_REFERENCE,STATE_EMERGENCY_OPERATIONS_BULLETIN,30.252,78.895,297469.93,3348584.41,HIGHWAY_LANDMARK_CORRIDOR_MATCH,100.0,MODERATE_PRECISION (51–100 m),Geocoded to well-known gazetted Kaliasaur chronic rockslide complex on NH-07,1,4,5,NHAI Highway Maintenance Advisories & Regional Situation Reports (August 2020),https://nhai.gov.in/ & https://usdma.uk.gov.in/,"Situation Report 11/08/2020, Item 2"
DIS-RDP-2021-001,NULL,CLOUDBURST,2021-05-11,2021,Dewaldhar (Jakholi),Public Disaster News & Local Summary,UNIQUE_RECORD,0.0,NONE (Unique Record),LITERATURE_CURATED_HISTORICAL_RECORD,MANUAL_RESEARCH_AND_CURATED_EXTRACTION,TEXT_TABULAR_EXTRACTION,UNVERIFIED_DOCUMENT_REFERENCE,STATE_EMERGENCY_OPERATIONS_BULLETIN,30.33,78.935,301476.56,3357160.0,VILLAGE_SETTLEMENT_CENTROID_MATCH,200.0,VILLAGE_SCALE_PRECISION (101–200 m),Geocoded to Dewaldhar village settlement centroid from Census 2011 directory,2,7,15,Local Disaster Coverage & Relief Bulletins: Dewaldhar Flash Flood (May 2021),https://rudraprayag.nic.in/ & https://usdma.uk.gov.in/,District Relief Assessment (May 2021)
DIS-RDP-2021-002,NULL,LANDSLIDE,2021-10-19,2021,Guptkashi - Phata Highway Corridor,Geological Survey of India & Media Reports,UNIQUE_RECORD,0.0,NONE (Unique Record),LITERATURE_CURATED_HISTORICAL_RECORD,MANUAL_RESEARCH_AND_CURATED_EXTRACTION,TEXT_TABULAR_EXTRACTION,VERIFIED_PUBLISHED_SECONDARY_SOURCE,OFFICIAL_GOVERNMENT_PDNA_REPORT,30.525,79.075,315306.3,3378538.18,HIGHWAY_LANDMARK_CORRIDOR_MATCH,100.0,MODERATE_PRECISION (51–100 m),Geocoded to road-cut failure segment along NH-107 between Guptkashi and Phata,5,14,35,Geological Survey of India Rapid Assessment Report on October 2021 Unseasonal Deluge,https://www.gsi.gov.in/ (Technical Report Annexure 1),"Northern Region Technical Report, Annexure 1 (NH-107 Slope Failures)"
DIS-RDP-2022-001,NULL,CLOUDBURST,2022-08-19,2022,Jakholi Block (Sirwadi),Public Disaster News & Incident Summary,UNIQUE_RECORD,0.0,NONE (Unique Record),LITERATURE_CURATED_HISTORICAL_RECORD,MANUAL_RESEARCH_AND_CURATED_EXTRACTION,TEXT_TABULAR_EXTRACTION,UNVERIFIED_DOCUMENT_REFERENCE,STATE_EMERGENCY_OPERATIONS_BULLETIN,30.315,78.91,299041.97,3355541.29,VILLAGE_SETTLEMENT_CENTROID_MATCH,200.0,VILLAGE_SCALE_PRECISION (101–200 m),Geocoded to Sirwadi village agricultural terraces from Census 2011 directory,4,10,45,Public Incident Reports & News Summary: Jakholi Sirwadi Flash Floods (August 2022),https://usdma.uk.gov.in/ (Public Incident Summary),"Incident Bulletin 19/08/2022, Page 2"
DIS-RDP-2023-001,NULL,DEBRIS_FLOW,2023-08-04,2023,Gaurikund Bridge / Market Parking,District Administration Public Bulletins & SDRF + Geological Survey of India & SDRF Public Bulletins,MERGED_CROSS_SOURCE_DUPLICATE,73.3,District Administration Public Bulletins & SDRF,LITERATURE_CURATED_HISTORICAL_RECORD,MANUAL_RESEARCH_AND_CURATED_EXTRACTION,MAP_GEOREFERENCED_DIGITIZATION,VERIFIED_PUBLISHED_SECONDARY_SOURCE,OFFICIAL_GOVERNMENT_PDNA_REPORT,30.5915,78.9735,305698.59,3386080.46,SATELLITE_DEBRIS_FAN_DELINEATION,50.0,HIGH_PRECISION (≤ 50 m),Delineated from high-resolution satellite/drone imagery and GSI gully failure report,23,18,20,Geological Survey of India Post-Disaster Geological Report on Gaurikund Debris Slide & SDRF Search Log,https://www.gsi.gov.in/ & https://usdma.uk.gov.in/,"GSI Technical Brief No. GSI/NR/UK/2023/04, Figure 2 & SDRF Log"
DIS-RDP-2024-001,NULL,LANDSLIDE,2024-07-31,2024,Junglechatti - Lincholi Trek,SDRF Public Bulletins & National Media,UNIQUE_RECORD,0.0,NONE (Unique Record),LITERATURE_CURATED_HISTORICAL_RECORD,MANUAL_RESEARCH_AND_CURATED_EXTRACTION,TEXT_TABULAR_EXTRACTION,VERIFIED_PUBLISHED_SECONDARY_SOURCE,STATE_EMERGENCY_OPERATIONS_BULLETIN,30.645,79.015,309783.09,3391940.04,HIGHWAY_LANDMARK_CORRIDOR_MATCH,100.0,MODERATE_PRECISION (51–100 m),Geocoded to published SDRF helicopter airlift extraction point on Kedarnath pedestrian trail,7,32,15,SDRF Uttarakhand Search & Rescue Logs and National Press Briefings: Kedarnath Trek Evacuation,https://usdma.uk.gov.in/,"SDRF Situation Bulletin 01/08/2024, Page 1"
